Municipality|Ward_Name|Ward_Number|Contest|Party|Candidate|Votes
City of Kenosha|Wards 1|1|President / Vice President|DEM|Kamala D. Harris / Tim Walz|368
City of Kenosha|Wards 1|1|President / Vice President|REP|Donald J. Trump / JD Vance|313
City of Kenosha|Wards 1|1|President / Vice President|GRN|Jill Stein / Rudolph Ware|13
City of Kenosha|Wards 1|1|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|4
City of Kenosha|Wards 1|1|President / Vice President|CON|Randall Terry / Stephen Broden|3
City of Kenosha|Wards 1|1|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|1
City of Kenosha|Wards 1|1|President / Vice President|JFA|Cornel West / Melina Abdullah|1
City of Kenosha|Wards 1|1|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 1|1|President / Vice President|Write-In||8
City of Kenosha|Wards 1|1|United States Senator|DEM|Tammy Baldwin|381
City of Kenosha|Wards 1|1|United States Senator|REP|Eric Hovde|292
City of Kenosha|Wards 1|1|United States Senator|DTC|Phil Anderson|13
City of Kenosha|Wards 1|1|United States Senator|AFT|Thomas Leager|10
City of Kenosha|Wards 1|1|United States Senator|Write-In||0
City of Kenosha|Wards 1|1|Representative in Congress|DEM|Peter Barca|374
City of Kenosha|Wards 1|1|Representative in Congress|REP|Bryan Steil|302
City of Kenosha|Wards 1|1|Representative in Congress|GRN|Chester Todd, Jr.|23
City of Kenosha|Wards 1|1|Representative in Congress|Write-In||0
City of Kenosha|Wards 1|1|State Senator District 22|DEM|Robert W. Wirch|522
City of Kenosha|Wards 1|1|State Senator District 22|Write-In||16
City of Kenosha|Wards 1|1|Representative to the Assembly District 64|DEM|Tip McGuire|392
City of Kenosha|Wards 1|1|Representative to the Assembly District 64|REP|Ed Hibsch|293
City of Kenosha|Wards 1|1|Representative to the Assembly District 64|Write-In||1
City of Kenosha|Wards 1|1|District Attorney|DEM|Carli McNeill|396
City of Kenosha|Wards 1|1|District Attorney|REP|Xavier Solis|285
City of Kenosha|Wards 1|1|District Attorney|Write-In||1
City of Kenosha|Wards 1|1|County Clerk|DEM|Regi Waligora|526
City of Kenosha|Wards 1|1|County Clerk|Write-In||20
City of Kenosha|Wards 1|1|County Treasurer|DEM|Teri Jacobson|518
City of Kenosha|Wards 1|1|County Treasurer|Write-In||20
City of Kenosha|Wards 1|1|Register of Deeds|DEM|Jennifer Mack|518
City of Kenosha|Wards 1|1|Register of Deeds|Write-In||19
City of Kenosha|Wards 1|1|State Referendum|Yes||487
City of Kenosha|Wards 1|1|State Referendum|No||165
City of Kenosha|Wards 2|2|President / Vice President|DEM|Kamala D. Harris / Tim Walz|203
City of Kenosha|Wards 2|2|President / Vice President|REP|Donald J. Trump / JD Vance|196
City of Kenosha|Wards 2|2|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|4
